,author,content,description,label,publishedAt,source_id,source_name,title,url,urlToImage
0,"Charlie Spiering, Charlie Spiering","During his opening remarks, Sen. Grassley said that over 70 protesters in the audience were arrested on Tuesday, but allowed that the protestors had a right to freedom of speech. “Today will be different,” he said. But the protests continued as at least 26 pr… [+646 chars]",Liberal protesters erupted during the first 30 minutes of the Supreme Court confirmation hearing for Brett Kavanaugh on Wednesday.,right,2018-09-05T15:05:49Z,breitbart-news,Breitbart News,Day Two: 26 Protesters Interrupt Brett Kavanaugh Hearing in First 30 Minutes,https://www.breitbart.com/big-government/2018/09/05/day-two-26-protesters-interrupt-brett-kavanaugh-hearing-in-first-30-minutes/,https://media.breitbart.com/media/2018/09/kavanaugh-protest.png
1,"John Nolte, John Nolte","This after Schumer, the Senate Minority Leader, went to extraordinary and unprecedented lengths Tuesday to stop Kavanaugh from taking a seat on the U.S. Supreme Court. By any measure the behavior of Democrats was a circus, a childish spectacle unworthy of the… [+3344 chars]",Thirteen left-wing extremist groups ripped into Sen. Chuck Schumer (D-NY) Tuesday over Brett Kavanaugh: 'You are failing us.',right,2018-09-05T14:34:56Z,breitbart-news,Breitbart News,Nolte: Leftist Groups Thrash Schumer - 'You Are Failing Us' on Kavanaugh,https://www.breitbart.com/big-government/2018/09/05/nolte-leftist-groups-thrash-schumer-you-are-failing-us-on-kavanaugh/,https://media.breitbart.com/media/2018/09/Chuck-Schumer.png
2,"Ian Mason, Ian Mason","In his prepared statement at the Senate Judiciary Committee hearing, Durbin first talked through a set of objections that mirrored his Democratic colleagues’, including the supposed withholding of the unprecedented volume of documents Democrats requested from… [+1911 chars]","Sen. Dick Durbin (D-IL) made a major admission during the effort he and fellow Democrats made to stop Judge Brett Kavanaugh's confirmation hearing Tuesday, noting that rather than Kavanaugh's record, President Donald Trump is his main concern.",right,2018-09-05T14:22:45Z,breitbart-news,Breitbart News,Dick Durbin Admits Democrats Are Fighting Kavanaugh 'over and Above All' Because of Trump,https://www.breitbart.com/big-government/2018/09/05/dick-durbin-admits-dems-fighting-kavanaugh-because-trump/,https://media.breitbart.com/media/2018/09/Dick-Durbin-brett-kavanaugh-confirmation-hearing-ap.jpg
3,"Sean Moran, Sean Moran","Senate Democrats and leftist protesters repeatedly disrupted Kavanaugh’s confirmation hearing on Tuesday. Democrats tried to delay the hearing, believing that they did not have enough time to review documents relating to Kavanaugh, while protesters cried abou… [+3171 chars]",Supreme Court Justice nominee Judge Brett Kavanaugh’s daughters were rushed out of his heated nomination hearing on Tuesday amid raucous Democrat-backed protests.,right,2018-09-04T18:10:50Z,breitbart-news,Breitbart News,Kavanaugh Daughters Rushed Out of Heated Supreme Court Hearing amid Democrat-Backed Protests,https://www.breitbart.com/big-government/2018/09/04/kavanaugh-daughters-rushed-out-of-heated-supreme-court-hearing-amid-democrat-backed-protests/,https://media.breitbart.com/media/2018/09/Kavanaugh-Family.png
4,"Dr. Susan Berry, Dr. Susan Berry","“It’s the basis of democracy that you control your own body,” Steinem says in the Reversing Roe teaser, whose release has been timed with the Senate confirmation hearings of Brett Kavanaugh, President Donald Trump’s Supreme Court nominee. The film, whose exec… [+3193 chars]","“It’s the basis of democracy that you control your own body,” Steinem says in the Reversing Roe teaser, whose release has been timed with the Senate confirmation hearings of Brett Kavanaugh, President Donald Trump’s Supreme Court nominee.",right,2018-09-08T14:27:22Z,breitbart-news,Breitbart News,Gloria Steinem in Netflix Doc ‘Reversing Roe’: Abortion Is ‘Basis of Democracy’,https://www.breitbart.com/big-hollywood/2018/09/08/gloria-steinem-netflix-doc-reversing-roe-abortion-basis-of-democracy/,https://media.breitbart.com/media/2018/09/GloriaNetflix1.jpg
5,"John Nolte, John Nolte",Kavanaugh is the Supreme Court nominee whose confirmation has been temporarily stalled due to a 36-year-old sexual misconduct accusation leveled at the last possible moment. Kavanaugh says the alleged incident (when he was 17) did not occur. Two witnesses bac… [+4581 chars],"An anonymous woman told HuffPost she was ""warned"" to look ""outgoing"" if she wanted a job clerking for Brett Kavanaugh.",right,2018-09-20T17:36:05Z,breitbart-news,Breitbart News,Nolte: HuffPost Bombshell Reveals Kavanaugh's Female Clerks Advised to Look 'Outgoing',https://www.breitbart.com/big-journalism/2018/09/20/huffpost-bombshell-reveals-kavanaughs-female-clerks-advised-look-outgoing/,https://media.breitbart.com/media/2018/09/Kavanaugh-whispering-former-clerks-ear-getty.jpg
6,"Trent Baker, Trent Baker","Tuesday on “CBS This Morning,” Sen. Kamala Harris (D-CA) said she believed Supreme Court justice nominee Brett Kavanaugh sexual misconduct accuser Christine Blasey Ford, and the United States Senate needs to know who Kavanaugh really is before confirming him … [+395 chars]","Tuesday on “CBS This Morning,” Sen. Kamala Harris (D-CA) said she believed Supreme Court justice nominee Brett Kavanaugh sexual misconduct accuser Christine Blasey Ford, and the United States Senate needs to know who Kavanaugh really is before confirming him …",right,2018-09-18T13:52:41Z,breitbart-news,Breitbart News,Kamala Harris: The Senate Needs to Know Who Brett Kavanaugh Really Is,https://www.breitbart.com/video/2018/09/18/kamala-harris-senate-needs-know-who-brett-kavanaugh-really-is/,https://media.breitbart.com/media/2017/10/Kamala-Harris-Getty.jpg
7,"Warner Todd Huston, Warner Todd Huston","In the one-minute video, John Legend insists that Judge Kavanaugh is “unfit for a lifetime appointment to the Supreme Court,” despite that the liberal American Bar Association has rated the judge as “well qualified.” The video ad was produced by the NAACP Leg… [+1726 chars]",Pop singer John Legend has joined the ranks of those opposing Judge Brett Kavanaugh's nomination to the U.S. Supreme Court.,right,2018-09-19T16:57:15Z,breitbart-news,Breitbart News,John Legend Stars in NAACP Attack Ad Opposing Brett Kavanaugh's Confirmation,https://www.breitbart.com/big-hollywood/2018/09/19/john-legend-in-naacp-ad-opposing-brett-kavanaughs/,https://media.breitbart.com/media/2018/09/Johnlegendkav1.jpg
8,"Penny Starr, Penny Starr","“We cannot go back to the time of back-alley abortions,” Warren said in a tweet on Wednesday. “But that could happen if Brett Kavanaugh is confirmed to the Supreme Court and helps overturn Roe v. Wade. We must #StopKavanaugh – the lives and futures of countle… [+1649 chars]","Sen. Elizabeth Warren posted on Twitter that if Brett Kavanaugh is confirmed as a Supreme Court justice, women will have to get ""back-alley abortions.""",right,2018-09-13T19:38:36Z,breitbart-news,Breitbart News,Sen. Elizabeth Warren: Confirming Kavanaugh Means Return to ‘Back-Alley Abortions',https://www.breitbart.com/big-government/2018/09/13/elizabeth-warren-confirming-kavanaugh-means-return-back-alley-abortions/,https://media.breitbart.com/media/2018/09/Elizabeth-Warren.png
9,"Ian Hanchett, Ian Hanchett","During his confirmation hearing on Wednesday, Supreme Court nominee Judge Brett Kavanaugh stated Roe v. Wade is “important precedent” and Planned Parenthood v. Casey’s status as a precedent on precedent reaffirming Roe is an “important factor to remember.” Ka… [+1045 chars]","During his confirmation hearing on Wednesday, Supreme Court nominee Judge Brett Kavanaugh stated Roe v. Wade is “important precedent” and Planned Parenthood v. Casey’s status as a precedent on precedent reaffirming Roe is an “important factor to remember.” Ka…",right,2018-09-05T14:56:02Z,breitbart-news,Breitbart News,Kavanaugh: Roe Is 'Important Precedent' - 'Important Factor' That Casey Is Precedent on Precedent,https://www.breitbart.com/video/2018/09/05/kavanaugh-roe-is-important-precedent-important-factor-that-casey-is-precedent-on-precedent/,https://media.breitbart.com/media/2018/09/Kavanaugh-95-Thumbnail.jpg
